"season","season_week","week_start_date","denv1_cases","denv2_cases","denv3_cases","denv4_cases","other_positive_cases","additional_cases","total_cases","TAVG","Bt"
"1992/1993",7,1992-06-10,1,0,0,0,19,0,20,28.2,1.37418771124248
"1992/1993",8,1992-06-17,3,0,0,2,21,0,26,28.7285714285714,1.44827943256145
"1992/1993",9,1992-06-24,0,0,0,2,27,0,29,29.2285714285714,1.51393214555672
"1992/1993",10,1992-07-01,2,0,0,1,28,0,31,28.7285714285714,1.44827943256145
"1992/1993",11,1992-07-08,0,0,0,0,28,0,28,27.3857142857143,1.25339426274098
"1992/1993",12,1992-07-15,0,0,0,0,26,0,26,27.6428571428571,1.2922112446742
"1992/1993",13,1992-07-22,3,1,0,1,27,0,32,28,1.34514971259517
"1992/1993",14,1992-07-29,2,3,0,3,25,2,35,28.1285714285714,1.36387280304297
"1992/1993",15,1992-08-05,4,2,0,1,22,4,33,27.6571428571429,1.29435214181444
"1992/1993",16,1992-08-12,2,0,0,1,21,6,30,28.2285714285714,1.3782954515598
"1992/1993",17,1992-08-19,9,4,0,2,24,13,52,28.1857142857143,1.37212988965183
"1992/1993",18,1992-08-26,7,5,0,0,34,13,59,28.8142857142857,1.45987224666895
"1992/1993",19,1992-09-02,11,2,0,1,33,20,67,27.9428571428571,1.33676740650384
"1992/1993",20,1992-09-09,8,2,0,4,37,14,65,28.1428571428571,1.36594089839411
"1992/1993",21,1992-09-16,4,1,0,1,45,23,74,27.4714285714286,1.26638914750255
"1992/1993",22,1992-09-23,6,4,0,0,40,20,70,28.0857142857143,1.35765354494597
"1992/1993",23,1992-09-30,9,4,0,1,29,18,61,29.0142857142857,1.48639665994264
"1992/1993",24,1992-10-07,4,2,0,1,31,15,53,29.1142857142857,1.49936556469721
"1992/1993",25,1992-10-14,2,1,0,0,44,29,76,28.7428571428571,1.4502205413413
"1992/1993",26,1992-10-21,0,1,0,0,27,33,61,28.7142857142857,1.44633479429564
"1992/1993",27,1992-10-28,3,0,0,1,31,22,57,28.0571428571429,1.3534951254221
"1992/1993",28,1992-11-04,7,2,0,0,22,13,44,27.5428571428571,1.2771768462256
"1992/1993",29,1992-11-11,0,1,0,1,19,13,34,26.6,1.13247545473603
"1992/1993",30,1992-11-18,0,1,0,0,23,23,47,27.4571428571429,1.26422699229208
"1992/1993",31,1992-11-25,0,0,0,0,35,25,60,26.6285714285714,1.13690974865474
"1992/1993",32,1992-12-02,0,0,0,1,35,24,60,26.7571428571429,1.1568424630043
"1992/1993",33,1992-12-09,1,0,0,0,28,24,53,26.6714285714286,1.14355817828659
"1992/1993",34,1992-12-16,0,1,0,1,22,12,36,25.9142857142857,1.02592642816064
"1992/1993",35,1992-12-23,1,1,0,0,23,6,31,25.7857142857143,1.00600241584611
"1992/1993",36,1993-01-01,3,0,0,0,23,4,30,25.3285714285714,0.935590272347893
"1992/1993",37,1993-01-08,0,0,0,1,26,5,32,24.7,0.840502016857465
"1992/1993",38,1993-01-15,0,1,0,0,27,0,28,24.8714285714286,0.866185079492914
"1992/1993",39,1993-01-22,0,2,0,0,28,3,33,24.9714285714286,0.881260125602954
"1992/1993",40,1993-01-29,4,3,0,0,24,2,33,26,1.03922832872714
"1992/1993",41,1993-02-05,2,0,0,0,33,0,35,26.1714285714286,1.06586355499315
"1992/1993",42,1993-02-12,0,0,0,1,21,0,22,26.0285714285714,1.0436650324764
"1992/1993",43,1993-02-19,1,0,0,0,12,0,13,25.5428571428571,0.968497064927201
"1992/1993",44,1993-02-26,2,0,0,0,11,0,13,24.9714285714286,0.881260125602954
"1992/1993",45,1993-03-05,0,1,0,0,20,0,21,25.8,1.00821420913598
"1992/1993",46,1993-03-12,2,1,0,0,14,0,17,26.7,1.14798825344653
"1992/1993",47,1993-03-19,0,1,0,0,10,0,11,26.2142857142857,1.07252646778361
"1992/1993",48,1993-03-26,2,0,0,0,6,0,8,27.4285714285714,1.25989823019541
"1992/1993",49,1993-04-02,0,0,0,0,8,0,8,27.3285714285714,1.24470294877567
"1992/1993",50,1993-04-09,0,0,0,1,5,0,6,26.2142857142857,1.07252646778361
"1992/1993",51,1993-04-16,0,1,0,0,5,0,6,26.6714285714286,1.14355817828659
"1992/1993",52,1993-04-23,1,0,0,0,6,0,7,27.3,1.24034935656515
"1993/1994",1,1993-04-30,1,1,0,0,10,0,12,26.8857142857143,1.17673025767343
"1993/1994",2,1993-05-07,1,1,0,0,15,0,17,26.4857142857143,1.11472521390187
"1993/1994",3,1993-05-14,0,0,0,0,10,0,10,29.4714285714286,1.54392030546622
"1993/1994",4,1993-05-21,0,0,0,1,9,0,10,27.8285714285714,1.31989783370245
"1993/1994",5,1993-05-28,0,0,0,0,18,0,18,29.1285714285714,1.50120151794298
"1993/1994",6,1993-06-04,0,0,0,0,18,1,19,28.7142857142857,1.44633479429564
"1993/1994",7,1993-06-11,0,0,0,0,12,0,12,28.1142857142857,1.36180219703005
"1993/1994",8,1993-06-18,0,2,0,0,18,2,22,27.5,1.27070890408178
"1993/1994",9,1993-06-25,4,1,0,0,7,0,12,28.6714285714286,1.44047995713249
"1993/1994",10,1993-07-02,0,1,0,0,20,0,21,28.1714285714286,1.37006946483868
"1993/1994",11,1993-07-09,1,1,0,0,16,0,18,27.6857142857143,1.29862856981587
"1993/1994",12,1993-07-16,0,3,0,1,12,0,16,28.7285714285714,1.44827943256145
"1993/1994",13,1993-07-23,1,0,0,0,15,0,16,28.0142857142857,1.34723958085698
"1993/1994",14,1993-07-30,2,1,0,1,18,0,22,29.2,1.51031671302339
"1993/1994",15,1993-08-06,0,1,0,0,16,0,17,29.3428571428571,1.52821321801518
"1993/1994",16,1993-08-13,1,1,0,1,22,0,25,29.0428571428571,1.49012272530501
"1993/1994",17,1993-08-20,0,2,0,2,18,1,23,28.9857142857143,1.48265438581846
"1993/1994",18,1993-08-27,1,1,0,1,9,0,12,28.4,1.40271072994705
"1993/1994",19,1993-09-03,2,2,0,1,19,1,25,28.4285714285714,1.40673964017305
"1993/1994",20,1993-09-10,0,1,0,0,27,0,28,28.4428571428571,1.40874959690055
"1993/1994",21,1993-09-17,3,2,0,2,20,0,27,28.4714285714286,1.41276039217953
"1993/1994",22,1993-09-24,1,1,0,0,16,0,18,27.9285714285714,1.33466623370459
"1993/1994",23,1993-10-01,1,1,0,0,21,0,23,28.2285714285714,1.3782954515598
"1993/1994",24,1993-10-08,1,3,0,0,18,1,23,28.4571428571429,1.4107565223495
"1993/1994",25,1993-10-15,1,2,0,0,26,0,29,27.9714285714286,1.34096308127949
"1993/1994",26,1993-10-22,4,6,0,0,27,1,38,28.2857142857143,1.38647866511436
"1993/1994",27,1993-10-29,2,3,0,2,28,1,36,27.3714285714286,1.25122346803163
"1993/1994",28,1993-11-05,6,7,0,3,27,0,43,27.7714285714286,1.31141339049697
"1993/1994",29,1993-11-12,5,5,0,0,34,2,46,26.9,1.17893667073871
"1993/1994",30,1993-11-19,6,5,0,0,18,2,31,26.7285714285714,1.15241639553096
"1993/1994",31,1993-11-26,2,5,0,0,18,0,25,26.5285714285714,1.12138370375304
"1993/1994",32,1993-12-03,7,4,0,2,22,5,40,26.6142857142857,1.13469279085164
"1993/1994",33,1993-12-10,2,3,0,1,20,5,31,26.4428571428571,1.10806470532745
"1993/1994",34,1993-12-17,1,2,0,0,32,3,38,25.8714285714286,1.01928084347825
"1993/1994",35,1993-12-24,5,7,0,1,17,0,30,25.6285714285714,0.981711849910791
"1993/1994",36,1994-01-01,2,3,0,0,17,0,22,25.6,0.977303962847404
"1993/1994",37,1994-01-08,2,5,0,0,24,0,31,25.1571428571429,0.90942252440321
"1993/1994",38,1994-01-15,3,4,0,0,19,0,26,25.2571428571429,0.924668486075225
"1993/1994",39,1994-01-22,4,5,0,1,23,2,35,25.6142857142857,0.979507548146685
"1993/1994",40,1994-01-29,3,9,0,1,21,2,36,25.4428571428571,0.953115772804234
"1993/1994",41,1994-02-05,4,7,0,2,24,2,39,25.4857142857143,0.959702739483508
"1993/1994",42,1994-02-12,6,5,0,1,13,0,25,25.7142857142857,0.994951918399627
"1993/1994",43,1994-02-19,1,2,0,1,27,0,31,25.6571428571429,0.986122546741597
"1993/1994",44,1994-02-26,3,5,0,2,27,0,37,25.5428571428571,0.968497064927201
"1993/1994",45,1994-03-05,6,3,0,1,23,0,33,26.0428571428571,1.04588382896304
"1993/1994",46,1994-03-12,4,3,0,1,17,0,25,26.2285714285714,1.07474763561088
"1993/1994",47,1994-03-19,4,4,0,2,14,0,24,26.5142857142857,1.11916445963393
"1993/1994",48,1994-03-26,0,1,0,0,17,0,18,26.6142857142857,1.13469279085164
"1993/1994",49,1994-04-02,0,4,0,0,19,0,23,26.3857142857143,1.09918167127526
"1993/1994",50,1994-04-09,0,2,0,0,11,0,13,25.7285714285714,0.997160840523668
"1993/1994",51,1994-04-16,2,1,0,0,15,0,18,26.1,1.05476161991768
"1993/1994",52,1994-04-23,1,3,0,0,10,0,14,27.2857142857143,1.23817064633773
"1994/1995",1,1994-04-30,2,1,0,1,13,0,17,27.8285714285714,1.31989783370245
"1994/1995",2,1994-05-07,2,4,0,0,16,0,22,27.6142857142857,1.28792418982195
"1994/1995",3,1994-05-14,2,0,0,0,11,0,13,28.3142857142857,1.39055376161441
"1994/1995",4,1994-05-21,2,3,0,2,17,0,24,29,1.484527535604
"1994/1995",5,1994-05-28,2,7,0,0,22,0,31,28.4,1.40271072994705
"1994/1995",6,1994-06-04,3,5,0,2,23,1,34,28.2571428571429,1.38239249881791
"1994/1995",7,1994-06-11,3,4,0,2,22,0,31,27.9285714285714,1.33466623370459
"1994/1995",8,1994-06-18,4,2,0,3,21,1,31,28.6428571428571,1.43655955053467
"1994/1995",9,1994-06-25,1,7,0,5,23,2,38,28.0142857142857,1.34723958085698
"1994/1995",10,1994-07-02,2,4,0,2,40,1,49,27.9714285714286,1.34096308127949
"1994/1995",11,1994-07-09,1,6,0,0,28,7,42,28.5,1.41675886732394
"1994/1995",12,1994-07-16,0,7,0,2,33,7,49,28.2571428571429,1.38239249881791
"1994/1995",13,1994-07-23,1,8,0,6,34,6,55,28.5,1.41675886732394
"1994/1995",14,1994-07-30,4,18,0,1,46,11,80,28.1714285714286,1.37006946483868
"1994/1995",15,1994-08-06,0,14,0,8,51,11,84,28.3285714285714,1.39258709942432
"1994/1995",16,1994-08-13,3,10,0,3,49,7,72,28.5857142857143,1.42867840803016
"1994/1995",17,1994-08-20,4,12,0,0,65,8,89,29.1,1.49752537040821
"1994/1995",18,1994-08-27,2,12,0,3,64,34,115,29.3857142857143,1.53349209724477
"1994/1995",19,1994-09-03,6,10,0,4,91,68,179,28.6142857142857,1.43262563392694
"1994/1995",20,1994-09-10,1,14,0,3,59,125,202,28.7714285714286,1.45409206819496
"1994/1995",21,1994-09-17,2,6,0,3,96,165,272,27.9857142857143,1.34305753857536
"1994/1995",22,1994-09-24,9,14,0,6,90,183,302,28.6,1.43065367213244
"1994/1995",23,1994-10-01,0,12,0,2,120,261,395,28.6857142857143,1.44243503118723
"1994/1995",24,1994-10-08,2,24,0,7,137,256,426,27.9285714285714,1.33466623370459
"1994/1995",25,1994-10-15,3,16,0,4,148,290,461,28.3428571428571,1.39461759854826
"1994/1995",26,1994-10-22,6,13,0,1,111,250,381,28.1285714285714,1.36387280304298
"1994/1995",27,1994-10-29,2,10,0,3,82,236,333,27.7142857142857,1.3028977011936
"1994/1995",28,1994-11-05,2,12,0,1,73,265,353,26.6571428571429,1.14134245981257
"1994/1995",29,1994-11-12,3,5,0,1,64,337,410,28.1285714285714,1.36387280304298
"1994/1995",30,1994-11-19,2,1,0,1,114,246,364,27.0285714285714,1.19875908770531
"1994/1995",31,1994-11-26,3,4,0,1,112,239,359,26.6428571428571,1.13912631078014
"1994/1995",32,1994-12-03,2,8,0,6,78,194,288,26.5,1.1169449573613
"1994/1995",33,1994-12-10,1,6,0,2,81,131,221,26.8142857142857,1.1656878039301
"1994/1995",34,1994-12-17,4,9,0,0,48,88,149,26.4571428571429,1.11028507104192
"1994/1995",35,1994-12-24,3,7,0,3,41,58,112,26.6571428571429,1.14134245981257
"1994/1995",36,1995-01-01,3,6,0,1,65,79,154,25.7285714285714,0.997160840523668
"1994/1995",37,1995-01-08,0,9,0,0,40,42,91,25.0285714285714,0.889903308688401
"1994/1995",38,1995-01-15,1,3,0,2,51,15,72,25.7428571428571,0.999370365733435
"1994/1995",39,1995-01-22,3,5,0,2,41,5,56,25.5857142857143,0.975101107978662
"1994/1995",40,1995-01-29,5,2,0,3,26,10,46,25.7428571428571,0.999370365733435
"1994/1995",41,1995-02-05,0,0,0,0,31,6,37,26.6428571428571,1.13912631078014
"1994/1995",42,1995-02-12,0,0,0,1,20,5,26,26.3285714285714,1.09029692055128
"1994/1995",43,1995-02-19,0,1,0,0,16,0,17,25.3285714285714,0.935590272347893
"1994/1995",44,1995-02-26,0,0,0,1,15,1,17,25.3,0.931218505204458
"1994/1995",45,1995-03-05,0,1,0,0,16,3,20,25.8142857142857,1.01042653314815
"1994/1995",46,1995-03-12,1,0,0,0,10,0,11,23.9714285714286,0.734013122474046
"1994/1995",47,1995-03-19,1,0,0,0,6,0,7,25.6571428571429,0.986122546741598
"1994/1995",48,1995-03-26,2,0,0,1,13,0,16,25.1428571428571,0.907248992721253
"1994/1995",49,1995-04-02,2,0,0,1,10,1,14,27.4428571428571,1.26206334639663
"1994/1995",50,1995-04-09,1,3,0,1,11,0,16,26.8857142857143,1.17673025767343
"1994/1995",51,1995-04-16,1,0,0,0,4,0,5,26.4571428571429,1.11028507104192
"1994/1995",52,1995-04-23,0,0,0,0,2,0,2,26.8857142857143,1.17673025767343
"1995/1996",1,1995-04-30,0,0,0,0,6,0,6,28.4714285714286,1.41276039217953
"1995/1996",2,1995-05-07,0,1,0,0,4,0,5,27.0571428571429,1.20315462188944
"1995/1996",3,1995-05-14,0,0,0,1,3,0,4,26.7857142857143,1.16126631352232
"1995/1996",4,1995-05-21,0,0,0,0,3,0,3,27.9285714285714,1.33466623370459
"1995/1996",5,1995-05-28,0,0,0,0,4,0,4,27.2285714285714,1.22944350576311
"1995/1996",6,1995-06-04,2,1,0,1,12,0,16,27.5285714285714,1.27502245201982
"1995/1996",7,1995-06-11,1,0,0,1,6,0,8,28.4428571428571,1.40874959690055
"1995/1996",8,1995-06-18,0,0,0,0,6,1,7,29.5714285714286,1.55586126693967
"1995/1996",9,1995-06-25,1,0,0,1,7,1,10,29.3,1.52289217735906
"1995/1996",10,1995-07-02,1,0,0,0,11,2,14,29.1285714285714,1.50120151794298
"1995/1996",11,1995-07-09,0,0,0,1,6,0,7,29.2285714285714,1.51393214555672
"1995/1996",12,1995-07-16,1,1,0,1,5,1,9,28.9,1.47133244154225
"1995/1996",13,1995-07-23,0,0,0,0,10,1,11,28.5428571428571,1.42273305096547
"1995/1996",14,1995-07-30,1,4,0,0,15,3,23,28.9571428571429,1.47889611650251
"1995/1996",15,1995-08-06,0,2,0,1,11,3,17,30.0428571428571,1.60858770280933
"1995/1996",16,1995-08-13,0,0,0,1,17,1,19,28.7142857142857,1.44633479429564
"1995/1996",17,1995-08-20,0,1,0,1,18,4,24,28.8285714285714,1.46179163990358
"1995/1996",18,1995-08-27,0,1,0,0,13,3,17,29.5285714285714,1.55077399786196
"1995/1996",19,1995-09-03,4,1,0,0,21,2,28,29.6142857142857,1.56090223161331
"1995/1996",20,1995-09-10,1,2,0,5,30,2,40,29.0428571428571,1.49012272530501
"1995/1996",21,1995-09-17,4,1,0,0,26,2,33,30.1,1.61454590115304
"1995/1996",22,1995-09-24,2,3,0,1,21,4,31,28.7857142857143,1.45602243499138
"1995/1996",23,1995-10-01,2,1,0,2,25,3,33,28.3285714285714,1.39258709942432
"1995/1996",24,1995-10-08,2,1,0,0,26,0,29,27.7857142857143,1.31353748468296
"1995/1996",25,1995-10-15,2,3,0,3,19,3,30,27.5571428571429,1.27932962633512
"1995/1996",26,1995-10-22,1,1,0,1,27,6,36,28.1428571428571,1.36594089839411
"1995/1996",27,1995-10-29,3,3,0,2,34,6,48,27.4714285714286,1.26638914750255
"1995/1996",28,1995-11-05,0,0,0,2,28,10,40,27.1,1.20974082404921
"1995/1996",29,1995-11-12,0,1,0,1,14,12,28,27.1714285714286,1.22069762737545
"1995/1996",30,1995-11-19,0,1,0,1,28,6,36,27.3428571428571,1.2468777910189
"1995/1996",31,1995-11-26,0,0,0,1,16,2,19,27.0142857142857,1.19655995747822
"1995/1996",32,1995-12-03,0,0,0,0,18,16,34,26.7571428571429,1.1568424630043
"1995/1996",33,1995-12-10,0,0,0,1,12,10,23,26.1714285714286,1.06586355499315
"1995/1996",34,1995-12-17,0,0,0,1,13,3,17,26.5285714285714,1.12138370375304
"1995/1996",35,1995-12-24,0,0,0,0,15,2,17,27.1285714285714,1.21412667107499
"1995/1996",36,1996-01-01,0,1,0,1,20,1,23,26.1428571428571,1.06142226417045
"1995/1996",37,1996-01-08,1,0,0,1,12,0,14,26.2142857142857,1.07252646778361
"1995/1996",38,1996-01-15,2,0,0,0,18,0,20,25.5857142857143,0.975101107978662
"1995/1996",39,1996-01-22,1,0,0,0,12,0,13,24.8857142857143,0.868334601660188
"1995/1996",40,1996-01-29,0,1,0,0,20,2,23,25.1285714285714,0.905076614540418
"1995/1996",41,1996-02-05,1,0,0,3,14,2,20,25.1571428571429,0.90942252440321
"1995/1996",42,1996-02-12,0,0,0,0,16,0,16,26.0571428571429,1.04810290138686
"1995/1996",43,1996-02-19,0,1,0,0,14,1,16,25.4714285714286,0.95750622534912
"1995/1996",44,1996-02-26,2,0,0,0,19,2,23,25.6571428571429,0.986122546741598
